discipline_code,discipline_name
ORG,Organization and Management
FLT,Flight Operations
DSP,Operational Control and Flight Dispatch
CAB,Cabin Operations
MNT,Aircraft Engineering and Maintenance
GRH,Ground Handling Operations
CGO,Cargo Operations
SEC,Security Management
