date,day,month,year,week,quarter,month_name,year_month
2021-05-08,8,5,2021,18,2,May,2021-05
2021-05-09,9,5,2021,18,2,May,2021-05
2021-05-10,10,5,2021,19,2,May,2021-05
2021-05-11,11,5,2021,19,2,May,2021-05
2021-05-12,12,5,2021,19,2,May,2021-05
2021-05-13,13,5,2021,19,2,May,2021-05
2021-05-14,14,5,2021,19,2,May,2021-05
2021-05-15,15,5,2021,19,2,May,2021-05
2021-05-16,16,5,2021,19,2,May,2021-05
2021-05-17,17,5,2021,20,2,May,2021-05
2021-05-18,18,5,2021,20,2,May,2021-05
2021-05-19,19,5,2021,20,2,May,2021-05
2021-05-20,20,5,2021,20,2,May,2021-05
2021-05-21,21,5,2021,20,2,May,2021-05
2021-05-22,22,5,2021,20,2,May,2021-05
2021-05-23,23,5,2021,20,2,May,2021-05
2021-05-24,24,5,2021,21,2,May,2021-05
2021-05-25,25,5,2021,21,2,May,2021-05
2021-05-26,26,5,2021,21,2,May,2021-05
2021-05-27,27,5,2021,21,2,May,2021-05
2021-05-28,28,5,2021,21,2,May,2021-05
2021-05-29,29,5,2021,21,2,May,2021-05
2021-05-30,30,5,2021,21,2,May,2021-05
2021-05-31,31,5,2021,22,2,May,2021-05
2021-06-01,1,6,2021,22,2,June,2021-06
2021-06-02,2,6,2021,22,2,June,2021-06
2021-06-03,3,6,2021,22,2,June,2021-06
2021-06-04,4,6,2021,22,2,June,2021-06
2021-06-05,5,6,2021,22,2,June,2021-06
2021-06-06,6,6,2021,22,2,June,2021-06
2021-06-07,7,6,2021,23,2,June,2021-06
2021-06-08,8,6,2021,23,2,June,2021-06
2021-06-09,9,6,2021,23,2,June,2021-06
2021-06-10,10,6,2021,23,2,June,2021-06
2021-06-11,11,6,2021,23,2,June,2021-06
2021-06-12,12,6,2021,23,2,June,2021-06
2021-06-13,13,6,2021,23,2,June,2021-06
2021-06-14,14,6,2021,24,2,June,2021-06
2021-06-15,15,6,2021,24,2,June,2021-06
2021-06-16,16,6,2021,24,2,June,2021-06
2021-06-17,17,6,2021,24,2,June,2021-06
2021-06-18,18,6,2021,24,2,June,2021-06
2021-06-19,19,6,2021,24,2,June,2021-06
2021-06-20,20,6,2021,24,2,June,2021-06
2021-06-21,21,6,2021,25,2,June,2021-06
2021-06-22,22,6,2021,25,2,June,2021-06
2021-06-23,23,6,2021,25,2,June,2021-06
2021-06-24,24,6,2021,25,2,June,2021-06
2021-06-25,25,6,2021,25,2,June,2021-06
2021-06-26,26,6,2021,25,2,June,2021-06
2021-06-27,27,6,2021,25,2,June,2021-06
2021-06-28,28,6,2021,26,2,June,2021-06
2021-06-29,29,6,2021,26,2,June,2021-06
2021-06-30,30,6,2021,26,2,June,2021-06
2021-07-01,1,7,2021,26,3,July,2021-07
2021-07-02,2,7,2021,26,3,July,2021-07
2021-07-03,3,7,2021,26,3,July,2021-07
2021-07-04,4,7,2021,26,3,July,2021-07
2021-07-05,5,7,2021,27,3,July,2021-07
2021-07-06,6,7,2021,27,3,July,2021-07
2021-07-07,7,7,2021,27,3,July,2021-07
2021-07-08,8,7,2021,27,3,July,2021-07
2021-07-09,9,7,2021,27,3,July,2021-07
2021-07-10,10,7,2021,27,3,July,2021-07
2021-07-11,11,7,2021,27,3,July,2021-07
2021-07-12,12,7,2021,28,3,July,2021-07
2021-07-13,13,7,2021,28,3,July,2021-07
2021-07-14,14,7,2021,28,3,July,2021-07
2021-07-15,15,7,2021,28,3,July,2021-07
2021-07-16,16,7,2021,28,3,July,2021-07
2021-07-17,17,7,2021,28,3,July,2021-07
2021-07-18,18,7,2021,28,3,July,2021-07
2021-07-19,19,7,2021,29,3,July,2021-07
2021-07-20,20,7,2021,29,3,July,2021-07
2021-07-21,21,7,2021,29,3,July,2021-07
2021-07-22,22,7,2021,29,3,July,2021-07
